employee_id,company_id,dept,seniority,salary,join_date,quit_date
428183,1,data_science,1,79000,10/13/2014,NA
727560,1,design,29,216000,3/21/2011,1/11/2013
641843,3,customer_service,18,90000,1/23/2012,4/4/2014
752719,1,sales,4,57000,3/13/2013,2/21/2014
970566,8,sales,4,39000,4/18/2011,2/6/2015
611675,3,customer_service,8,68000,10/8/2012,9/27/2013
176568,5,marketing,18,151000,3/30/2015,NA
507843,5,engineer,23,275000,8/2/2011,NA
895072,7,marketing,23,180000,11/16/2015,NA
678783,2,marketing,15,216000,12/1/2014,NA
660969,1,customer_service,23,126000,3/10/2014,NA
539604,9,customer_service,13,60000,7/13/2015,NA
244440,7,marketing,7,87000,7/16/2013,6/20/2014
511426,3,customer_service,28,99000,11/11/2013,10/9/2015
58586,2,engineer,28,357000,7/14/2014,NA
312508,1,marketing,24,170000,2/29/2012,4/1/2013
998574,5,marketing,6,106000,9/23/2013,7/31/2015
389668,1,sales,5,113000,1/3/2012,10/19/2012
176931,2,engineer,25,314000,1/30/2012,1/2/2015
849741,1,customer_service,22,123000,7/7/2015,NA
153827,8,marketing,19,150000,7/18/2011,8/15/2014
939712,2,customer_service,12,68000,6/8/2015,NA
172148,4,engineer,22,243000,12/22/2014,NA
821911,6,engineer,2,50000,12/2/2013,NA
440303,8,customer_service,1,24000,9/19/2011,10/26/2012
669716,2,data_science,23,323000,2/27/2012,2/27/2015
891337,8,data_science,14,167000,12/30/2013,NA
751235,3,sales,13,99000,7/21/2014,NA
248453,4,customer_service,15,107000,1/17/2012,9/26/2014
695819,5,customer_service,10,66000,7/1/2013,6/27/2014
763336,7,customer_service,8,61000,2/25/2014,NA
58880,10,customer_service,25,97000,2/17/2015,NA
713537,2,customer_service,15,123000,8/3/2015,NA
80669,6,design,24,130000,10/3/2011,9/28/2012
520415,3,customer_service,14,68000,9/26/2011,8/29/2012
908625,4,engineer,16,245000,4/14/2014,5/1/2015
593208,3,customer_service,13,63000,11/5/2012,NA
518561,4,design,18,165000,4/8/2013,2/13/2014
712645,1,customer_service,27,123000,10/3/2011,11/21/2014
527399,2,data_science,6,203000,1/26/2015,NA
472895,2,sales,28,206000,2/12/2014,NA
684003,9,engineer,5,156000,8/31/2015,NA
473490,1,design,18,216000,8/1/2011,9/2/2014
749119,1,data_science,22,304000,10/7/2015,NA
74405,4,customer_service,7,67000,9/16/2013,8/20/2014
618285,7,customer_service,22,94000,1/20/2015,NA
725049,1,data_science,28,284000,2/3/2014,NA
301919,1,customer_service,17,132000,12/17/2012,1/24/2014
657940,1,customer_service,20,122000,8/3/2015,NA
901938,3,customer_service,24,101000,2/6/2013,NA
949168,1,customer_service,6,74000,5/5/2014,NA
749309,1,engineer,15,299000,10/27/2014,NA
765089,1,marketing,17,227000,1/10/2013,12/27/2013
102091,4,customer_service,7,74000,12/15/2014,NA
120280,1,data_science,22,303000,11/3/2014,10/23/2015
98699,1,customer_service,16,131000,1/22/2013,2/13/2015
396099,10,engineer,15,216000,12/30/2013,10/23/2015
383357,8,engineer,12,132000,10/23/2012,12/6/2013
113155,3,engineer,8,154000,4/14/2014,NA
348281,2,engineer,6,215000,12/12/2011,4/10/2015
74428,1,customer_service,15,115000,6/2/2015,NA
879533,1,marketing,9,108000,5/30/2013,NA
701600,1,data_science,14,186000,7/24/2012,NA
129130,3,design,22,158000,9/10/2014,NA
720874,6,design,6,115000,9/28/2015,NA
465890,1,marketing,2,49000,2/27/2012,5/16/2014
199977,2,data_science,12,198000,6/24/2013,NA
391536,2,engineer,2,79000,7/24/2014,NA
890774,9,data_science,5,179000,3/10/2014,NA
315388,3,engineer,21,274000,12/30/2013,NA
169449,6,customer_service,13,73000,6/9/2014,NA
11820,5,design,21,158000,2/13/2012,10/9/2015
96220,1,data_science,25,319000,11/7/2012,11/4/2015
368885,1,customer_service,16,118000,8/29/2011,4/25/2014
66309,6,customer_service,13,64000,7/17/2013,8/8/2014
535005,4,sales,9,96000,10/5/2015,NA
705974,3,sales,10,98000,7/11/2012,3/27/2015
798925,10,customer_service,13,71000,5/18/2015,NA
319360,7,data_science,1,64000,3/22/2011,4/13/2012
423294,3,customer_service,8,61000,1/17/2012,11/8/2013
518099,1,engineer,10,201000,11/28/2011,4/10/2015
878745,2,data_science,16,308000,5/5/2014,NA
21574,4,customer_service,2,27000,1/24/2011,2/17/2012
280348,1,data_science,12,242000,1/3/2012,11/30/2012
37403,5,customer_service,23,98000,10/17/2011,10/26/2012
7557,2,sales,7,137000,2/14/2011,2/10/2012
357361,1,sales,24,176000,7/19/2012,6/14/2013
856058,10,marketing,16,184000,1/21/2015,NA
130736,1,sales,12,127000,11/12/2012,12/20/2013
512086,3,sales,12,103000,10/8/2012,10/24/2014
957379,1,customer_service,18,111000,2/23/2015,NA
632861,1,customer_service,15,113000,11/12/2012,NA
831946,4,sales,13,88000,8/8/2011,8/17/2012
753949,2,customer_service,22,128000,11/30/2015,NA
513369,6,data_science,21,213000,9/23/2013,9/26/2014
37349,3,customer_service,24,107000,4/15/2013,5/23/2014
330923,1,customer_service,25,131000,2/24/2014,NA
747178,6,marketing,16,191000,9/19/2011,9/11/2015
933558,2,engineer,29,317000,5/14/2012,10/30/2015
573147,9,customer_service,23,76000,3/9/2015,NA
469641,2,engineer,14,220000,5/18/2015,NA
511955,1,customer_service,23,119000,4/4/2011,9/18/2015
337628,1,customer_service,22,137000,11/4/2013,12/19/2014
438492,4,engineer,8,150000,12/22/2014,NA
42459,6,customer_service,27,95000,10/1/2012,11/8/2013
520199,2,data_science,2,87000,8/22/2011,5/17/2013
183452,1,marketing,3,51000,3/31/2014,NA
345027,5,customer_service,1,26000,12/16/2013,10/17/2014
823460,2,customer_service,8,93000,5/18/2015,NA
826151,1,engineer,14,187000,2/2/2015,NA
722528,1,customer_service,3,30000,4/20/2015,NA
966441,3,sales,2,44000,7/2/2012,6/21/2013
565100,7,engineer,5,155000,11/10/2015,NA
57435,1,data_science,19,287000,4/5/2011,6/13/2012
379266,10,customer_service,18,90000,9/12/2011,9/14/2012
709392,1,data_science,28,326000,8/20/2012,7/10/2015
933798,1,marketing,27,2.00E+05,12/31/2012,1/12/2015
294709,1,sales,1,56000,3/31/2014,2/6/2015
760218,4,marketing,11,124000,9/21/2015,NA
127607,2,engineer,7,209000,6/20/2011,11/7/2014
990429,1,engineer,1,77000,11/15/2011,7/25/2014
214965,5,design,6,94000,9/26/2011,6/4/2015
168979,4,sales,19,166000,3/3/2014,3/20/2015
227144,2,customer_service,20,125000,8/8/2011,6/22/2012
46845,2,sales,1,45000,10/26/2015,NA
72538,8,engineer,27,274000,3/11/2013,NA
377002,1,engineer,15,304000,5/19/2014,NA
279201,7,data_science,16,219000,11/19/2012,1/12/2015
839686,8,customer_service,29,98000,9/8/2014,7/31/2015
278601,3,customer_service,6,62000,4/21/2011,8/29/2014
267930,3,data_science,17,281000,1/26/2011,1/27/2012
701397,1,customer_service,1,26000,4/23/2012,NA
762509,1,customer_service,10,70000,9/9/2013,8/8/2014
987465,9,engineer,9,162000,3/21/2011,2/28/2014
364854,1,data_science,21,319000,12/7/2015,NA
369519,1,marketing,23,236000,12/27/2011,1/2/2015
965576,6,data_science,20,273000,11/18/2013,NA
55818,1,marketing,26,189000,6/24/2013,7/10/2015
240363,6,data_science,6,167000,10/31/2011,11/9/2012
142885,1,customer_service,17,119000,5/26/2015,NA
43322,8,customer_service,26,105000,6/8/2015,NA
807289,1,data_science,16,319000,3/14/2011,1/27/2012
48387,9,customer_service,10,51000,4/8/2014,NA
735300,1,data_science,19,343000,6/24/2013,NA
84039,2,customer_service,11,77000,9/26/2011,5/24/2013
284117,1,customer_service,5,81000,6/24/2013,5/30/2014
845186,4,engineer,11,185000,11/7/2011,12/28/2012
687060,2,sales,25,202000,9/9/2013,10/9/2014
268518,7,data_science,26,221000,7/21/2014,9/4/2015
255166,1,customer_service,7,73000,6/13/2011,3/21/2014
626015,6,design,29,167000,10/5/2015,NA
998140,1,customer_service,20,126000,10/10/2011,1/18/2013
40297,3,marketing,4,42000,2/21/2012,9/4/2015
663378,2,engineer,13,199000,3/21/2011,8/1/2014
603597,1,engineer,26,277000,6/25/2012,NA
772399,5,marketing,4,34000,12/16/2013,NA
549063,4,engineer,12,163000,8/24/2011,8/22/2014
814519,1,customer_service,13,76000,6/13/2011,1/30/2015
677548,5,data_science,23,218000,10/1/2013,11/28/2014
292886,2,data_science,2,71000,7/8/2013,NA
88192,1,customer_service,17,113000,11/18/2013,NA
310716,3,engineer,16,239000,11/30/2015,NA
492306,2,customer_service,23,125000,12/22/2014,NA
727419,7,marketing,9,119000,8/27/2012,4/21/2014
694006,4,customer_service,22,97000,3/24/2014,NA
589003,2,customer_service,22,134000,10/26/2015,NA
100485,3,marketing,13,83000,3/5/2012,2/14/2014
616385,3,sales,22,160000,1/7/2015,NA
478322,2,customer_service,19,121000,10/12/2015,NA
312366,9,customer_service,1,24000,4/23/2012,4/25/2014
921656,9,marketing,14,117000,5/13/2013,NA
570564,1,customer_service,17,110000,4/15/2013,6/12/2015
806748,4,customer_service,17,91000,4/20/2015,NA
404492,8,engineer,13,191000,1/6/2014,NA
931750,7,marketing,16,202000,2/24/2014,2/13/2015
383204,2,sales,19,201000,12/9/2013,11/28/2014
357555,9,sales,28,178000,1/26/2015,NA
54806,4,customer_service,18,90000,4/23/2012,4/5/2013
425545,11,engineer,26,203000,9/12/2013,7/18/2014
360494,1,sales,5,157000,6/7/2012,6/28/2013
953784,2,customer_service,17,117000,6/23/2014,NA
66079,5,engineer,10,159000,4/15/2013,5/2/2014
496386,4,customer_service,9,73000,9/9/2013,9/26/2014
422942,9,customer_service,12,64000,9/14/2015,NA
947071,1,sales,3,54000,11/26/2013,NA
435919,1,marketing,11,126000,9/17/2012,NA
472690,3,engineer,8,159000,11/18/2013,1/23/2015
404476,1,design,29,156000,11/25/2015,NA
413486,1,customer_service,18,126000,4/15/2013,5/23/2014
381998,6,sales,19,167000,10/10/2011,9/28/2012
236704,2,customer_service,28,117000,3/28/2011,2/24/2012
24132,4,marketing,5,114000,7/18/2013,7/8/2014
828900,5,design,18,136000,6/3/2013,6/20/2014
707536,4,engineer,8,174000,7/1/2013,6/13/2014
972591,1,customer_service,24,141000,8/29/2011,4/26/2013
774429,1,design,23,172000,10/15/2012,9/19/2013
596215,4,customer_service,7,61000,2/9/2015,NA
124892,6,customer_service,8,72000,7/15/2013,7/17/2015
515467,4,marketing,19,172000,9/19/2012,9/26/2014
437146,5,marketing,13,84000,2/18/2014,NA
83418,1,engineer,6,147000,6/10/2013,7/11/2014
414164,1,engineer,11,213000,8/10/2015,NA
911280,1,customer_service,12,81000,10/6/2014,NA
766599,1,customer_service,26,128000,12/30/2014,NA
704356,1,sales,28,198000,9/2/2014,NA
109310,3,sales,20,190000,2/4/2013,12/13/2013
30556,1,engineer,4,90000,9/16/2013,NA
504345,8,data_science,19,246000,9/16/2013,9/5/2014
632607,3,marketing,17,177000,12/19/2011,2/1/2013
436116,2,marketing,10,109000,8/8/2011,10/22/2015
903975,3,marketing,28,167000,9/30/2013,10/16/2015
875512,1,sales,20,198000,3/14/2012,4/19/2013
186535,2,customer_service,14,69000,8/29/2011,8/24/2012
307309,3,customer_service,7,73000,4/15/2013,12/19/2014
958097,8,sales,17,152000,3/12/2012,2/28/2014
711318,3,sales,8,97000,3/9/2015,NA
116644,1,engineer,26,304000,11/5/2015,NA
970302,1,customer_service,22,1.00E+05,4/8/2013,NA
166681,9,customer_service,1,20000,5/2/2011,5/16/2012
409657,3,engineer,3,67000,10/14/2013,10/10/2014
89281,3,customer_service,21,93000,5/4/2015,NA
627990,3,sales,15,162000,4/2/2012,3/1/2013
642574,1,engineer,9,151000,12/10/2012,1/10/2014
495964,9,marketing,5,109000,12/7/2015,NA
407517,3,engineer,21,271000,8/31/2015,NA
766721,1,data_science,12,196000,2/12/2013,NA
162862,9,customer_service,10,64000,12/1/2014,NA
460645,3,data_science,5,160000,3/28/2011,3/30/2012
507400,2,customer_service,9,86000,4/29/2013,5/2/2014
10982,5,engineer,27,184000,6/20/2011,11/1/2013
596247,5,customer_service,19,87000,9/17/2012,9/27/2013
140437,10,data_science,20,229000,3/3/2014,1/2/2015
420376,5,sales,4,30000,10/8/2014,NA
590941,6,marketing,20,167000,12/7/2015,NA
293616,1,customer_service,2,32000,5/5/2014,NA
875515,1,customer_service,14,79000,3/10/2014,NA
814185,1,customer_service,2,32000,6/22/2015,NA
766860,5,design,4,43000,6/4/2014,6/26/2015
389222,2,engineer,9,193000,2/19/2013,12/6/2013
474539,6,customer_service,9,63000,11/30/2015,NA
573912,1,data_science,25,306000,3/19/2012,6/6/2013
120318,8,sales,15,145000,4/7/2014,NA
123510,10,customer_service,18,92000,3/25/2013,3/20/2015
627791,4,sales,3,44000,8/10/2015,NA
581583,1,marketing,8,136000,4/11/2011,4/26/2013
888728,3,sales,26,128000,3/19/2013,3/21/2014
51652,3,engineer,24,264000,10/13/2015,NA
80071,3,customer_service,17,107000,5/23/2011,1/31/2014
762544,2,customer_service,13,72000,6/1/2015,NA
189073,2,sales,9,120000,7/21/2014,NA
447645,1,engineer,23,310000,5/17/2011,5/18/2012
447381,1,design,4,41000,5/18/2011,5/9/2014
955563,4,customer_service,28,92000,12/2/2013,NA
696084,1,customer_service,16,135000,12/18/2012,12/26/2014
168299,6,data_science,17,292000,5/27/2014,NA
850813,10,customer_service,8,67000,3/1/2012,1/17/2014
100016,6,marketing,11,108000,8/18/2014,8/21/2015
831056,1,customer_service,18,119000,6/10/2013,8/1/2014
582624,4,data_science,6,168000,8/27/2012,NA
43050,2,marketing,13,148000,11/11/2015,NA
630183,3,sales,9,97000,5/2/2011,2/6/2015
278501,10,sales,23,150000,5/7/2013,NA
390697,1,design,19,220000,3/5/2012,6/14/2013
474976,2,marketing,2,40000,8/10/2015,NA
229229,2,customer_service,15,126000,1/17/2012,1/18/2013
169746,7,sales,27,152000,11/25/2015,NA
502939,6,data_science,24,226000,5/5/2014,NA
895393,2,sales,3,49000,5/9/2011,5/29/2015
518354,1,customer_service,18,133000,8/31/2015,NA
332293,9,data_science,19,243000,5/5/2014,NA
32378,8,customer_service,17,88000,4/13/2015,NA
460922,4,customer_service,29,82000,10/8/2012,NA
6.00E+05,2,customer_service,19,119000,12/22/2014,10/9/2015
657266,3,customer_service,1,24000,5/13/2013,NA
909192,1,customer_service,5,78000,8/12/2013,NA
332489,1,design,15,212000,10/10/2012,2/20/2015
895898,4,customer_service,10,56000,4/4/2011,4/20/2012
925648,9,marketing,15,130000,12/10/2014,NA
825963,2,customer_service,26,133000,8/25/2014,NA
103004,3,engineer,5,185000,12/5/2013,12/5/2014
633599,1,customer_service,16,104000,6/17/2013,2/13/2015
530174,1,marketing,13,140000,8/26/2013,NA
163751,4,customer_service,5,54000,12/2/2013,11/14/2014
719930,1,customer_service,7,75000,10/17/2011,9/26/2014
718199,8,customer_service,1,21000,10/5/2015,NA
898252,2,marketing,10,122000,7/6/2015,NA
168953,1,customer_service,17,109000,7/2/2015,NA
646910,7,customer_service,19,96000,7/23/2012,10/11/2013
145115,3,customer_service,15,89000,3/28/2011,4/24/2015
426072,7,marketing,14,113000,12/8/2014,NA
260811,1,customer_service,10,91000,10/29/2012,10/11/2013
787251,1,data_science,3,74000,9/22/2014,11/20/2015
66204,3,customer_service,15,71000,2/3/2014,NA
23115,1,customer_service,8,74000,10/26/2015,NA
647125,1,design,8,127000,3/16/2015,NA
115377,5,marketing,10,101000,7/9/2012,3/28/2014
998416,2,data_science,17,322000,2/29/2012,NA
601118,2,data_science,18,304000,8/25/2014,NA
640268,1,customer_service,20,126000,10/19/2015,NA
846348,1,sales,16,233000,7/13/2015,NA
337015,5,engineer,29,217000,3/18/2013,1/2/2015
239278,3,engineer,1,54000,12/10/2012,NA
992868,9,data_science,11,191000,6/1/2015,NA
488402,1,marketing,14,141000,11/24/2014,NA
48309,7,sales,17,153000,6/29/2015,NA
722302,2,engineer,9,170000,5/28/2013,6/13/2014
207178,1,customer_service,12,78000,5/6/2013,7/31/2015
551037,9,customer_service,20,101000,4/7/2014,4/17/2015
985830,10,customer_service,25,98000,7/10/2013,6/20/2014
497784,2,marketing,3,51000,9/15/2014,NA
596735,3,sales,4,45000,12/31/2012,2/28/2014
378181,1,marketing,4,59000,5/26/2015,NA
371708,1,engineer,19,304000,5/13/2015,NA
784707,5,engineer,14,173000,2/25/2013,3/14/2014
698606,3,customer_service,15,102000,8/10/2015,NA
43282,4,customer_service,4,28000,6/22/2015,NA
285498,9,engineer,1,65000,12/3/2012,11/22/2013
790607,1,data_science,15,297000,8/10/2015,NA
319080,5,marketing,8,115000,3/22/2011,5/25/2012
952116,11,engineer,18,177000,2/5/2013,2/21/2014
804295,1,engineer,2,70000,3/29/2011,5/8/2015
417556,2,customer_service,18,128000,10/19/2011,10/25/2013
879854,5,customer_service,25,91000,8/1/2011,4/12/2013
330596,2,data_science,17,254000,12/19/2011,NA
390493,1,design,23,141000,5/4/2015,NA
431752,2,marketing,29,205000,8/27/2014,NA
199880,5,customer_service,15,101000,2/21/2012,9/25/2015
974282,1,design,16,226000,4/15/2013,NA
985535,2,data_science,2,82000,11/19/2012,3/6/2015
282163,1,customer_service,9,83000,7/14/2015,NA
712062,3,marketing,26,147000,4/21/2014,3/20/2015
978617,3,customer_service,9,70000,1/30/2012,4/1/2013
226529,1,customer_service,19,92000,7/11/2011,8/3/2012
211638,1,engineer,16,271000,12/16/2013,12/26/2014
836062,10,design,16,169000,9/23/2013,10/31/2014
235535,1,sales,8,131000,4/13/2015,NA
635247,1,customer_service,6,84000,1/12/2015,NA
246896,4,marketing,4,46000,7/22/2013,NA
275916,8,marketing,8,106000,6/4/2012,5/29/2015
517539,2,customer_service,17,111000,8/24/2015,NA
463050,9,sales,26,165000,9/8/2015,NA
436611,1,sales,20,198000,3/31/2015,NA
224745,1,customer_service,19,108000,1/24/2011,2/24/2012
171378,1,engineer,2,79000,6/2/2014,NA
537626,1,marketing,29,196000,12/23/2013,NA
124512,1,customer_service,11,94000,5/11/2011,6/14/2013
951303,4,data_science,11,148000,7/8/2014,8/14/2015
528189,2,design,13,132000,7/7/2014,NA
864168,3,engineer,20,242000,1/12/2015,NA
392126,1,engineer,9,2.00E+05,8/17/2015,NA
771367,9,data_science,4,66000,8/11/2014,7/7/2015
876757,1,customer_service,6,82000,4/27/2015,NA
561043,3,customer_service,18,119000,7/2/2012,3/28/2014
553673,6,engineer,18,210000,2/23/2015,NA
219934,10,engineer,26,273000,3/14/2013,5/2/2014
549709,2,customer_service,28,131000,11/24/2014,8/7/2015
461699,5,customer_service,8,69000,4/11/2011,3/2/2012
786074,1,customer_service,10,77000,8/29/2012,NA
759537,1,customer_service,7,78000,11/9/2015,NA
791580,8,marketing,29,142000,9/7/2011,9/7/2012
643910,9,customer_service,20,111000,8/3/2015,NA
996641,2,customer_service,22,107000,5/19/2015,NA
489162,1,customer_service,10,64000,6/23/2014,7/24/2015
850929,4,customer_service,15,95000,2/1/2012,1/18/2013
896418,2,sales,19,193000,4/30/2012,2/13/2015
81245,1,engineer,27,242000,7/8/2013,7/25/2014
408935,3,customer_service,26,92000,7/15/2015,NA
850321,1,data_science,4,73000,5/29/2012,NA
531482,10,data_science,25,244000,12/19/2011,12/20/2013
110260,2,sales,6,121000,12/10/2014,NA
833223,6,customer_service,21,97000,7/6/2015,NA
801009,4,marketing,4,31000,11/17/2014,11/27/2015
930115,1,data_science,5,180000,10/22/2013,NA
408481,1,customer_service,24,104000,2/24/2014,NA
194942,2,marketing,20,213000,3/30/2015,NA
909316,2,customer_service,27,110000,6/6/2011,1/3/2012
232873,1,customer_service,17,102000,2/19/2013,3/21/2014
762095,2,customer_service,1,27000,7/13/2015,NA
744283,1,customer_service,7,70000,8/18/2014,10/2/2015
326908,4,customer_service,7,76000,2/6/2012,1/2/2015
709637,1,data_science,19,302000,6/21/2011,NA
258465,8,data_science,4,54000,7/27/2015,NA
278488,1,customer_service,12,78000,8/1/2011,5/15/2015
711005,3,marketing,16,122000,6/8/2015,NA
255,1,engineer,27,315000,5/11/2011,5/15/2015
33112,1,customer_service,14,78000,10/28/2013,10/24/2014
549420,3,design,14,1.00E+05,10/17/2011,12/19/2014
442078,4,customer_service,15,108000,6/13/2011,6/29/2012
753563,10,sales,14,133000,2/2/2015,NA
503661,1,customer_service,13,89000,11/9/2015,NA
394204,3,marketing,23,137000,10/16/2013,10/24/2014
217227,5,customer_service,2,20000,5/14/2012,2/28/2014
427269,3,customer_service,3,20000,3/2/2015,NA
708015,6,customer_service,28,92000,5/11/2015,NA
38105,5,design,23,160000,2/10/2011,8/6/2013
385679,1,customer_service,2,27000,4/29/2013,4/10/2015
690240,2,marketing,5,136000,10/27/2014,NA
435704,9,engineer,26,229000,10/3/2011,2/20/2015
792053,2,customer_service,25,121000,4/23/2012,4/26/2013
448329,5,data_science,24,233000,1/24/2013,12/19/2014
51777,2,data_science,27,310000,9/11/2013,9/26/2014
473299,1,engineer,26,344000,5/22/2012,NA
58927,8,sales,1,40000,2/25/2013,1/27/2014
946918,2,marketing,12,128000,10/19/2015,NA
507787,6,engineer,22,236000,10/20/2014,NA
654777,2,data_science,27,337000,11/19/2012,NA
588336,2,engineer,14,183000,9/8/2015,NA
235813,7,engineer,20,224000,7/2/2012,5/24/2013
855168,7,sales,12,112000,5/2/2011,3/2/2012
405330,3,data_science,4,53000,8/15/2011,9/28/2012
457687,1,engineer,20,277000,7/30/2012,10/23/2015
963374,6,customer_service,21,105000,12/19/2011,3/14/2014
562815,9,data_science,15,211000,1/13/2014,NA
319978,6,customer_service,21,88000,5/6/2013,7/25/2014
919998,7,marketing,29,155000,1/5/2015,NA
213017,4,data_science,3,44000,2/15/2012,NA
114779,1,data_science,10,203000,7/19/2011,6/29/2012
106236,1,engineer,10,230000,2/24/2014,NA
849653,1,sales,13,147000,9/15/2014,NA
655748,6,sales,19,194000,7/23/2012,8/9/2013
740506,4,customer_service,17,123000,8/8/2011,10/24/2014
28932,1,marketing,22,232000,10/7/2013,10/16/2014
201085,3,customer_service,20,89000,1/31/2011,6/20/2014
328355,4,sales,23,152000,5/6/2013,3/14/2014
566297,2,engineer,17,254000,5/28/2013,6/4/2015
677016,1,marketing,1,42000,1/12/2015,NA
496040,1,customer_service,11,91000,7/27/2015,NA
34844,1,design,9,117000,8/29/2011,10/19/2012
124337,3,customer_service,10,67000,11/28/2011,7/24/2015
667928,9,data_science,10,156000,1/13/2014,3/6/2015
931572,4,data_science,2,67000,10/28/2013,NA
205170,3,marketing,21,178000,3/16/2015,NA
959210,3,design,7,101000,8/8/2011,7/20/2012
254167,10,engineer,6,185000,7/3/2012,9/11/2015
962065,2,customer_service,7,76000,6/17/2013,8/28/2015
934734,1,marketing,4,51000,6/16/2014,NA
111875,1,sales,13,139000,10/3/2011,8/23/2013
539239,1,customer_service,13,72000,2/25/2013,1/31/2014
138278,2,sales,13,155000,2/19/2013,NA
711922,3,engineer,11,187000,7/11/2011,6/29/2012
899518,2,engineer,24,266000,2/9/2015,NA
665820,1,sales,20,235000,4/7/2014,NA
292630,3,customer_service,7,71000,8/12/2014,NA
307132,4,data_science,8,164000,7/9/2012,7/17/2015
428072,1,customer_service,1,31000,6/18/2012,6/14/2013
846673,2,customer_service,5,81000,8/17/2015,NA
217607,2,marketing,12,121000,3/12/2012,8/15/2014
222877,8,customer_service,27,89000,9/19/2011,1/9/2015
304761,3,design,13,93000,1/3/2012,NA
883221,2,engineer,23,280000,6/3/2013,NA
284199,5,customer_service,20,112000,4/30/2012,NA
274779,1,customer_service,12,74000,3/17/2014,4/10/2015
209964,1,customer_service,10,89000,10/7/2013,11/7/2014
358937,6,engineer,28,233000,6/4/2012,11/6/2015
889900,1,customer_service,21,117000,9/9/2013,NA
74837,5,customer_service,27,70000,11/4/2014,NA
953970,6,customer_service,27,93000,7/29/2013,7/18/2014
407776,1,design,11,151000,3/24/2014,3/13/2015
